srcStateName,srcDistrictName,srcYear,Country,StateCode,StateName,YearCode,DistrictCode,Year,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Punjab,RUPNAGAR,2018-19,India,3,PUNJAB,2018,42,"Agriculture Year (Jul - Jun), 2018",RUPNAGAR,684627,177807,506820,357485,93396,264089,327142,84411,242731,135635,37808,97827,5560,131560,137120.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,RUPNAGAR,2019-20,India,3,PUNJAB,2019,42,"Agriculture Year (Jul - Jun), 2019",RUPNAGAR,684627,177807,506820,357485,93396,264089,327142,84411,242731,135635,37808,97827,5560,131560,137120.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,SANGRUR,2011-12,India,3,PUNJAB,2011,43,"Agriculture Year (Jul - Jun), 2011",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2012-13,India,3,PUNJAB,2012,43,"Agriculture Year (Jul - Jun), 2012",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2013-14,India,3,PUNJAB,2013,43,"Agriculture Year (Jul - Jun), 2013",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2014-15,India,3,PUNJAB,2014,43,"Agriculture Year (Jul - Jun), 2014",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2015-16,India,3,PUNJAB,2015,43,"Agriculture Year (Jul - Jun), 2015",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2016-17,India,3,PUNJAB,2016,43,"Agriculture Year (Jul - Jun), 2016",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2017-18,India,3,PUNJAB,2017,43,"Agriculture Year (Jul - Jun), 2017",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2018-19,India,3,PUNJAB,2018,43,"Agriculture Year (Jul - Jun), 2018",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,SANGRUR,2019-20,India,3,PUNJAB,2019,43,"Agriculture Year (Jul - Jun), 2019",SANGRUR,1225156,341900,883256,651249,181668,469581,573907,160232,413675,236086,67890,168196,11392,254812,266203.75,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.74019994332904978283,1,0.66264184586163790180,1,0.77532733382256382527,1,0.74171695923483165135,1,0.66453529205197237504,1,0.77661237106241100267,1,0.73848598708083485601,1,0.66050810218105520036,1,0.77387377443873456415,1,0.74038322827484554834,1,0.67213828881452586975,1,0.77202291337715271913,1,0.715353218210361,1,0.792432163102728,1,0.788794979947746,1
Punjab,BARNALA,2011-12,India,3,PUNJAB,2011,605,"Agriculture Year (Jul - Jun), 2011",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2012-13,India,3,PUNJAB,2012,605,"Agriculture Year (Jul - Jun), 2012",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2013-14,India,3,PUNJAB,2013,605,"Agriculture Year (Jul - Jun), 2013",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2014-15,India,3,PUNJAB,2014,605,"Agriculture Year (Jul - Jun), 2014",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2015-16,India,3,PUNJAB,2015,605,"Agriculture Year (Jul - Jun), 2015",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2016-17,India,3,PUNJAB,2016,605,"Agriculture Year (Jul - Jun), 2016",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2017-18,India,3,PUNJAB,2017,605,"Agriculture Year (Jul - Jun), 2017",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2018-19,India,3,PUNJAB,2018,605,"Agriculture Year (Jul - Jun), 2018",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,BARNALA,2019-20,India,3,PUNJAB,2019,605,"Agriculture Year (Jul - Jun), 2019",BARNALA,595527,190685,404842,317522,102312,215210,278005,88373,189632,115798,39141,76657,5075,135910,140985.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2011-12,India,3,PUNJAB,2011,608,"Agriculture Year (Jul - Jun), 2011",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2012-13,India,3,PUNJAB,2012,608,"Agriculture Year (Jul - Jun), 2012",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2013-14,India,3,PUNJAB,2013,608,"Agriculture Year (Jul - Jun), 2013",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2014-15,India,3,PUNJAB,2014,608,"Agriculture Year (Jul - Jun), 2014",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2015-16,India,3,PUNJAB,2015,608,"Agriculture Year (Jul - Jun), 2015",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2016-17,India,3,PUNJAB,2016,608,"Agriculture Year (Jul - Jun), 2016",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2017-18,India,3,PUNJAB,2017,608,"Agriculture Year (Jul - Jun), 2017",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2018-19,India,3,PUNJAB,2018,608,"Agriculture Year (Jul - Jun), 2018",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,S.A.S NAGAR,2019-20,India,3,PUNJAB,2019,608,"Agriculture Year (Jul - Jun), 2019",S.A.S Nagar,957272,544611,412661,509395,288269,221126,447877,256342,191535,198489,120288,78201,17203,96326.4,113529.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2011-12,India,3,PUNJAB,2011,609,"Agriculture Year (Jul - Jun), 2011",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2012-13,India,3,PUNJAB,2012,609,"Agriculture Year (Jul - Jun), 2012",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2013-14,India,3,PUNJAB,2013,609,"Agriculture Year (Jul - Jun), 2013",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2014-15,India,3,PUNJAB,2014,609,"Agriculture Year (Jul - Jun), 2014",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2015-16,India,3,PUNJAB,2015,609,"Agriculture Year (Jul - Jun), 2015",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2016-17,India,3,PUNJAB,2016,609,"Agriculture Year (Jul - Jun), 2016",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2017-18,India,3,PUNJAB,2017,609,"Agriculture Year (Jul - Jun), 2017",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2018-19,India,3,PUNJAB,2018,609,"Agriculture Year (Jul - Jun), 2018",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,TARN TARAN,2019-20,India,3,PUNJAB,2019,609,"Agriculture Year (Jul - Jun), 2019",Tarn Taran,1119911,141795,978116,589524,75047,514477,530387,66748,463639,203470,26752,176718,3433,236107,239539.525001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2011-12,India,3,PUNJAB,2011,651,"Agriculture Year (Jul - Jun), 2011",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2012-13,India,3,PUNJAB,2012,651,"Agriculture Year (Jul - Jun), 2012",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2013-14,India,3,PUNJAB,2013,651,"Agriculture Year (Jul - Jun), 2013",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2014-15,India,3,PUNJAB,2014,651,"Agriculture Year (Jul - Jun), 2014",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2015-16,India,3,PUNJAB,2015,651,"Agriculture Year (Jul - Jun), 2015",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2016-17,India,3,PUNJAB,2016,651,"Agriculture Year (Jul - Jun), 2016",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2017-18,India,3,PUNJAB,2017,651,"Agriculture Year (Jul - Jun), 2017",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2018-19,India,3,PUNJAB,2018,651,"Agriculture Year (Jul - Jun), 2018",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,FAZILKA,2019-20,India,3,PUNJAB,2019,651,"Agriculture Year (Jul - Jun), 2019",FAZILKA,1063737,267089,796648,561641,141996,419645,502096,125093,377003,203714,52885,150829,5066,285606,290672.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,PATHANKOT,2011-12,India,3,PUNJAB,2011,662,"Agriculture Year (Jul - Jun), 2011",PATHANKOT,676598,298166,378432,362002,164243,197759,314596,133923,180673,134559,59899,74660,10676,86115.8,96791.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,PATHANKOT,2012-13,India,3,PUNJAB,2012,662,"Agriculture Year (Jul - Jun), 2012",PATHANKOT,676598,298166,378432,362002,164243,197759,314596,133923,180673,134559,59899,74660,10676,86115.8,96791.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,PATHANKOT,2013-14,India,3,PUNJAB,2013,662,"Agriculture Year (Jul - Jun), 2013",PATHANKOT,676598,298166,378432,362002,164243,197759,314596,133923,180673,134559,59899,74660,10676,86115.8,96791.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,PATHANKOT,2014-15,India,3,PUNJAB,2014,662,"Agriculture Year (Jul - Jun), 2014",PATHANKOT,676598,298166,378432,362002,164243,197759,314596,133923,180673,134559,59899,74660,10676,86115.8,96791.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,PATHANKOT,2015-16,India,3,PUNJAB,2015,662,"Agriculture Year (Jul - Jun), 2015",PATHANKOT,676598,298166,378432,362002,164243,197759,314596,133923,180673,134559,59899,74660,10676,86115.8,96791.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
