srcStateName,srcDistrictName,srcYear,Country,StateCode,StateName,YearCode,DistrictCode,Year,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,BADGAM,2013-14,India,1,JAMMU AND KASHMIR,2013,2,"Agriculture Year (Jul - Jun), 2013",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0.78554418271431319600,0.000000000000000000000000,0.90282129749494154800,0.74741044264284332500,0.000000000000000000000000,0.86637447762715319500,0.82821671951960056700,0.000000000000000000000000,0.94287689471528062300,0.73817516906436539200,0.000000000000000000000000,0.85330529988704608700,2,1,0.99519940520764243993,1,1.00000000000000000000,1,0.99447617523603195510,1,0.99522358289500994770,1,1.00000000000000000000,1,0.99445668458623424694,1,0.99517232777144671418,1,1.00000000000000000000,1,0.99449761229329697385,1,0.99476608187134502924,1,1.00000000000000000000,1,0.99394274370022785210,1,1,1,0.992482803300329,1,0.992944047606902,1
Jammu and Kashmir,BADGAM,2014-15,India,1,JAMMU AND KASHMIR,2014,2,"Agriculture Year (Jul - Jun), 2014",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2015-16,India,1,JAMMU AND KASHMIR,2015,2,"Agriculture Year (Jul - Jun), 2015",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2016-17,India,1,JAMMU AND KASHMIR,2016,2,"Agriculture Year (Jul - Jun), 2016",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2017-18,India,1,JAMMU AND KASHMIR,2017,2,"Agriculture Year (Jul - Jun), 2017",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2018-19,India,1,JAMMU AND KASHMIR,2018,2,"Agriculture Year (Jul - Jun), 2018",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BARAMULLA,2011-12,India,1,JAMMU AND KASHMIR,2011,3,"Agriculture Year (Jul - Jun), 2011",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BARAMULLA,2012-13,India,1,JAMMU AND KASHMIR,2012,3,"Agriculture Year (Jul - Jun), 2012",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2013-14,India,1,JAMMU AND KASHMIR,2013,3,"Agriculture Year (Jul - Jun), 2013",BARAMULLA,3590,0,3590,1887,0,1887,1703,0,1703,537,0,537,0,502.3,502.299987792969,0,0,0,0.78554418271431319600,0.000000000000000000000000,0.90282129749494154800,0.74741044264284332500,0.000000000000000000000000,0.86637447762715319500,0.82821671951960056700,0.000000000000000000000000,0.94287689471528062300,0.73817516906436539200,0.000000000000000000000000,0.85330529988704608700,2,2,0.00480059479235756007,0.00354873179792196546,0.000000000000000000000000,0.000000000000000000000000,0.00552382476396804490,0.00432984493365929789,0.00477641710499005230,0.00351645484700532966,0.000000000000000000000000,0.000000000000000000000000,0.00554331541376575306,0.00434506293087965074,0.00482767222855328582,0.00358519522787989280,0.000000000000000000000000,0.000000000000000000000000,0.00550238770670302615,0.00431310672849714950,0.00523391812865497076,0.00350586269030893375,0.000000000000000000000000,0.000000000000000000000000,0.00605725629977214790,0.00426586592311908677,0,0,0.00751719669967081,0.00512638,0.00705595239309755,0.00481410229004874
Jammu and Kashmir,BARAMULLA,2013-14,India,1,JAMMU AND KASHMIR,2013,3,"Agriculture Year (Jul - Jun), 2013",BARAMULLA,1008039,182500,825539,534733,102334,432399,473306,80166,393140,152635,27289,125346,6356,97481,103836.984375,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,2,1.00000000000000000000,0.99645126820207803454,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.99567015506634070211,1.00000000000000000000,0.99648354515299467034,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.99565493706912034926,1.00000000000000000000,0.99641480477212010720,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.99568689327150285050,1.00000000000000000000,0.99649413730969106625,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.99573413407688091323,1,1,1,0.994874,1,0.995185897709951
