srcStateName,srcSubDistrictName,srcYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,srcDistrictName,YearCode,Year
Karnataka,Gajendragad,2019-20,,,,,0,0,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gangavathi,2019-20,,,,,0,0,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gokak,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gubbi,2019-20,2.0,20.0,0.0,0.0,2,20,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gulbarga,2019-20,0.0,0.0,2.0,9799.0,2,9799,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Guledagudda,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hadagali,2019-20,,,,,0,0,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hagaribommanahalli,2019-20,,,,,0,0,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Haliyal,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hangal,2019-20,,,,,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Harapanahalli,2019-20,,,,,0,0,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Harihar,2019-20,,,,,0,0,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hassan,2019-20,1.0,120.0,8.0,58000.0,9,58120,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Haveri,2019-20,0.0,0.0,0.0,0.0,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hebri,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Heggadadevanakote,2019-20,0.0,0.0,0.0,0.0,0,0,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hirekerur,2019-20,,,,,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hiriyur,2019-20,0.0,0.0,1.0,1500.0,1,1500,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Holalkere,2019-20,,,,,0,0,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Holenarasipura,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Honnali,2019-20,,,,,0,0,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Honnavar,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hosadurga,2019-20,,,,,0,0,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hosanagar,2019-20,0.0,0.0,1.0,4400.0,1,4400,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hoskote,2019-20,0.0,0.0,1.0,10000.0,1,10000,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hospet,2019-20,,,,,0,0,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hubballi Nagara,2019-20,1.0,2250.0,4.0,23300.0,5,25550,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hubli,2019-20,,,,,0,0,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hukkeri,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hulasuru,2019-20,,,,,0,0,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Humnabad,2019-20,1.0,400.0,0.0,0.0,1,400,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hungund,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hunsur,2019-20,,,,,0,0,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ilkal,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
