ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,YearCode,Year
122,India,29,Karnataka,548,Tumakuru,5540,Turuvekere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
149,India,29,Karnataka,548,Tumakuru,5541,Kunigal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
3,India,29,Karnataka,549,Udupi,5522,Kundapura,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
4,India,29,Karnataka,549,Udupi,5523,Udupi,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
24,India,29,Karnataka,549,Udupi,5524,Karkal,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
22,India,29,Karnataka,549,Udupi,7065,Hebri,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
20,India,29,Karnataka,549,Udupi,7066,Bainduru,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
23,India,29,Karnataka,549,Udupi,7067,Kapu,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
21,India,29,Karnataka,549,Udupi,7068,Brahmavara,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
127,India,29,Karnataka,550,Uttara Kannada,5478,Karwar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
148,India,29,Karnataka,550,Uttara Kannada,5479,Supa,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
125,India,29,Karnataka,550,Uttara Kannada,5480,Haliyal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
131,India,29,Karnataka,550,Uttara Kannada,5481,Yellapur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
129,India,29,Karnataka,550,Uttara Kannada,5482,Mundgod,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
37,India,29,Karnataka,550,Uttara Kannada,5483,Sirsi,2019-20,0.0,0.0,3.0,861.0,3,861,2019,"Financial Year (Apr - Mar), 2019"
5,India,29,Karnataka,550,Uttara Kannada,5484,Ankola,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
128,India,29,Karnataka,550,Uttara Kannada,5485,Kumta,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
130,India,29,Karnataka,550,Uttara Kannada,5486,Siddapur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
126,India,29,Karnataka,550,Uttara Kannada,5487,Honavar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
123,India,29,Karnataka,550,Uttara Kannada,5488,Bhatkal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
124,India,29,Karnataka,550,Uttara Kannada,7064,Dandeli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
188,India,29,Karnataka,630,Chikkaballapura,5595,Gauribidanur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
63,India,29,Karnataka,630,Chikkaballapura,5596,Chikkaballapura,2019-20,0.0,0.0,1.0,14500.0,1,14500,2019,"Financial Year (Apr - Mar), 2019"
189,India,29,Karnataka,630,Chikkaballapura,5597,Gudibanda,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
186,India,29,Karnataka,630,Chikkaballapura,5598,Bagepalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
190,India,29,Karnataka,630,Chikkaballapura,5599,Sidlaghatta,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
187,India,29,Karnataka,630,Chikkaballapura,5600,Chintamani,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
114,India,29,Karnataka,631,Ramanagara,5605,Magadi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
55,India,29,Karnataka,631,Ramanagara,5606,Ramanagara,2019-20,0.0,0.0,1.0,5000.0,1,5000,2019,"Financial Year (Apr - Mar), 2019"
19,India,29,Karnataka,631,Ramanagara,5607,Channapatna,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
67,India,29,Karnataka,631,Ramanagara,5608,Kanakapura,2019-20,0.0,0.0,2.0,25186.0,2,25186,2019,"Financial Year (Apr - Mar), 2019"
140,India,29,Karnataka,635,Yadgir,5587,Shorapur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
44,India,29,Karnataka,635,Yadgir,5588,Shahpur,2019-20,0.0,0.0,1.0,2500.0,1,2500,2019,"Financial Year (Apr - Mar), 2019"
142,India,29,Karnataka,635,Yadgir,5589,Yadgir,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
138,India,29,Karnataka,635,Yadgir,7094,Gurumitkal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
141,India,29,Karnataka,635,Yadgir,7095,Wadagera,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
139,India,29,Karnataka,635,Yadgir,7096,Hunasagi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
