ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,YearCode,Year
35,India,29,Karnataka,529,Bidar,5454,Basavakalyan,2019-20,0.0,0.0,1.0,75.0,1,75,2019,"Financial Year (Apr - Mar), 2019"
177,India,29,Karnataka,529,Bidar,5455,Bhalki,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
176,India,29,Karnataka,529,Bidar,5456,Aurad,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
45,India,29,Karnataka,529,Bidar,5457,Bidar,2019-20,0.0,0.0,2.0,2560.0,2,2560,2019,"Financial Year (Apr - Mar), 2019"
27,India,29,Karnataka,529,Bidar,5458,Homnabad,2019-20,1.0,400.0,0.0,0.0,1,400,2019,"Financial Year (Apr - Mar), 2019"
178,India,29,Karnataka,529,Bidar,7084,Chitaguppa,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
180,India,29,Karnataka,529,Bidar,7085,Kamalnagar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
179,India,29,Karnataka,529,Bidar,7086,Hulsoor,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
65,India,29,Karnataka,530,Vijayapura,5449,Vijayapura,2019-20,0.0,0.0,11.0,21820.0,11,21820,2019,"Financial Year (Apr - Mar), 2019"
133,India,29,Karnataka,530,Vijayapura,5450,Indi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
137,India,29,Karnataka,530,Vijayapura,5451,Sindgi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
12,India,29,Karnataka,530,Vijayapura,5452,Basavana Bagevadi,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
135,India,29,Karnataka,530,Vijayapura,5453,Muddebihal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
39,India,29,Karnataka,530,Vijayapura,7069,Babaleshwar,2019-20,0.0,0.0,1.0,1000.0,1,1000,2019,"Financial Year (Apr - Mar), 2019"
1,India,29,Karnataka,530,Vijayapura,7070,Chadachan,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
132,India,29,Karnataka,530,Vijayapura,7071,Devara Hipparagi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
134,India,29,Karnataka,530,Vijayapura,7072,Kolhar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
158,India,29,Karnataka,530,Vijayapura,7073,Talikoti,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
48,India,29,Karnataka,530,Vijayapura,7074,Tikota,2019-20,0.0,0.0,1.0,4000.0,1,4000,2019,"Financial Year (Apr - Mar), 2019"
136,India,29,Karnataka,530,Vijayapura,7075,Nidagundi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
182,India,29,Karnataka,531,Chamarajanagara,5576,Gundlupet,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
181,India,29,Karnataka,531,Chamarajanagara,5577,Chamarajanagar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
185,India,29,Karnataka,531,Chamarajanagara,5578,Yelandur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
184,India,29,Karnataka,531,Chamarajanagara,5579,Kollegal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
183,India,29,Karnataka,531,Chamarajanagara,7077,Hanur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
195,India,29,Karnataka,532,Chikkamagaluru,5525,Sringeri,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
192,India,29,Karnataka,532,Chikkamagaluru,5526,Koppa,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
194,India,29,Karnataka,532,Chikkamagaluru,5527,Narasimharajapura,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
197,India,29,Karnataka,532,Chikkamagaluru,5528,Tarikere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
38,India,29,Karnataka,532,Chikkamagaluru,5529,Kadur,2019-20,0.0,0.0,1.0,1000.0,1,1000,2019,"Financial Year (Apr - Mar), 2019"
151,India,29,Karnataka,532,Chikkamagaluru,5530,Chikkamagaluru,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
193,India,29,Karnataka,532,Chikkamagaluru,5531,Mudigere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
191,India,29,Karnataka,532,Chikkamagaluru,7078,Ajjampura,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
200,India,29,Karnataka,533,Chitradurga,5503,Molakalmuru,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
64,India,29,Karnataka,533,Chitradurga,5504,Challakere,2019-20,0.0,0.0,3.0,15600.0,3,15600,2019,"Financial Year (Apr - Mar), 2019"
10,India,29,Karnataka,533,Chitradurga,5505,Chitradurga,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
198,India,29,Karnataka,533,Chitradurga,5506,Holalkere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
